"","WOType","Borough","WOCategory","WOWoodRemains","WOWireConflict","CreatedDate"
"606","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/26"
"607","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/19"
"608","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"609","Pruning","Brooklyn","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/12"
"610","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"611","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"612","Tree Down","Bronx","Post-Failure Tree/Debris Removal","All Wood Removed","No Util Conflict Present","20/02/08"
"613","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"614","Pruning","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/12"
"615","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"616","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Open","20/02/18"
"617","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"618","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"619","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/26"
"620","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"621","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/26"
"622","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"623","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Open","20/02/28"
"624","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/11"
"625","Tree Down","Manhattan","Post-Failure Tree/Debris Removal","All Wood Removed","No Util Conflict Present","20/02/12"
"626","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"627","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/25"
"628","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/19"
"629","Tree Removal","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"630","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"631","Pruning","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/12"
"632","Stump Removal","Staten Island","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/20"
"633","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"634","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"635","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"636","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"637","Pruning","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/28"
"638","Limb Down","Queens","Post-Failure Tree/Debris Removal","All Wood Removed","No Util Conflict Present","20/02/10"
"639","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/13"
"640","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"641","Pest & Disease Treatment","Queens","Misc Work","No Wood Debris","No Util Conflict Present","20/02/19"
"642","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"643","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"644","Tree Down","Queens","Post-Failure Tree/Debris Removal","All Wood Removed","No Util Conflict Present","20/02/20"
"645","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"646","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"647","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/28"
"648","Tree Down","Queens","Post-Failure Tree/Debris Removal","No Wood Debris","No Util Conflict Present","20/02/08"
"649","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"650","Rescue/Preservation - Tree","Brooklyn","Misc Work","No Wood Debris","No Util Conflict Present","20/02/26"
"651","Misc Wood","Staten Island","Post-Failure Tree/Debris Removal","Unprocessed Wood","No Util Conflict Present","20/02/07"
"652","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/13"
"653","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"654","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/01"
"655","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"656","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/13"
"657","Hanging Limb","Brooklyn","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/26"
"658","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"659","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"660","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/03"
"661","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/24"
"662","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"663","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/26"
"664","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"665","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"666","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"667","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"668","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"669","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"670","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/14"
"671","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"672","Misc Wood","Staten Island","Post-Failure Tree/Debris Removal","Unprocessed Wood","No Util Conflict Present","20/02/24"
"673","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"674","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/13"
"675","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/26"
"676","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","Electric Utility Pending","20/02/11"
"677","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/21"
"678","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/08"
"679","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"680","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"681","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"682","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"683","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"684","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"685","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"686","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"687","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/26"
"688","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/27"
"689","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"690","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"691","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"692","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"693","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"694","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"695","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/04"
"696","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"697","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/12"
"698","Stump Removal for Tree Planting","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/13"
"699","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/19"
"700","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"701","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"702","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"703","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"704","Stump Removal","Staten Island","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/18"
"705","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/19"
"706","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/17"
"707","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/07"
"708","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/19"
"709","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/12"
"710","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/28"
"711","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"712","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/13"
"713","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/13"
"714","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"715","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"716","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/14"
"717","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"718","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/10"
"719","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/26"
"720","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"721","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"722","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"723","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"724","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"725","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"726","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"727","Tree Plant-Park Tree","Bronx","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/25"
"728","Stump Removal","Staten Island","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/11"
"729","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","Electric Utility Open","20/02/10"
"730","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"731","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"732","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"733","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"734","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"735","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"736","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"737","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"738","Stump Removal","Bronx","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/18"
"739","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/12"
"740","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"741","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"742","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"743","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/24"
"744","Stump Removal","Staten Island","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/25"
"745","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"746","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/24"
"747","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"748","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"749","Tree Removal","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"750","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"751","Pruning","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/19"
"752","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"753","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"754","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/13"
"755","Stump Removal","Staten Island","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/19"
"756","Tree Down","Brooklyn","Post-Failure Tree/Debris Removal","> 12 in diam, <4 ft length","No Util Conflict Present","20/02/12"
"757","Tree Removal","Queens","Risk Mitigation","No Wood Debris","Electric Utility Pending","20/02/18"
"758","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/14"
"759","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"760","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"761","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"762","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"763","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"764","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"765","Pruning","Queens","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/25"
"766","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"767","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"768","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"769","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"770","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/19"
"771","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"772","Tree Removal","Manhattan","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/12"
"773","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"774","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"775","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"776","Hanging Limb","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"777","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/26"
"778","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/05"
"779","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"780","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/05"
"781","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"782","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/03"
"783","Rescue/Preservation - Tree","Brooklyn","Misc Work","No Wood Debris","No Util Conflict Present","20/02/04"
"784","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/25"
"785","Tree Plant-Street Tree Block","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/06"
"786","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"787","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/10"
"788","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"789","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"790","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"791","Pruning","Queens","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/19"
"792","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"793","Tree Plant-Park Tree","Bronx","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/24"
"794","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"795","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"796","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"797","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"798","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"799","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"800","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"801","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","Electric Utility Pending","20/02/20"
"802","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"803","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"804","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"805","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/14"
"806","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/14"
"807","Tree Plant-Street Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/07"
"808","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"809","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"810","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"811","Stump Removal","Manhattan","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/18"
"812","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"813","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/15"
"814","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"815","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/07"
"816","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/24"
"817","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"818","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"819","Limb Down","Queens","Post-Failure Tree/Debris Removal","All Wood Removed","No Util Conflict Present","20/02/04"
"820","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/20"
"821","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"822","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"823","Pruning","Brooklyn","Risk Mitigation","Unprocessed Wood","No Util Conflict Present","20/02/27"
"824","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"825","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/26"
"826","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"827","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"828","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"829","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/12"
"830","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"831","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/19"
"832","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"833","Pruning","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/01"
"834","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/19"
"835","Tree Plant-Park Tree","Bronx","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/25"
"836","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"837","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"838","Tree Removal","Manhattan","Risk Mitigation","All Wood Removed","No Util Conflict Present","20/02/03"
"839","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/27"
"840","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"841","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"842","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/17"
"843","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"844","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"845","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"846","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"847","Block Pruning","Brooklyn","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"848","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"849","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"850","Tree Plant-Park Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/27"
"851","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"852","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"853","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"854","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"855","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"856","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/13"
"857","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/06"
"858","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/25"
"859","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/12"
"860","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/03"
"861","Tree Removal","Staten Island","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/24"
"862","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/04"
"863","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/10"
"864","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"865","Stump Removal","Queens","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/06"
"866","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/10"
"867","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"868","Tree Plant-Street Tree","Queens","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/20"
"869","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"870","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/05"
"871","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/03"
"872","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"873","Tree Removal","Brooklyn","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"874","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/03"
"875","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/04"
"876","Tree Removal","Bronx","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/07"
"877","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"878","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/26"
"879","Block Pruning","Staten Island","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"880","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"881","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/18"
"882","Block Pruning","Bronx","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/11"
"883","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/25"
"884","Stump Removal for Tree Planting","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/11"
"885","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/17"
"886","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/20"
"887","Block Pruning","Queens","Block Pruning","No Wood Debris","No Util Conflict Present","20/02/28"
"888","Pruning","Manhattan","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/06"
"889","Tree Plant-Park Tree","Bronx","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/04"
"890","Tree Removal","Queens","Risk Mitigation","No Wood Debris","No Util Conflict Present","20/02/10"
"891","Stump Removal","Brooklyn","Stump Removal","No Wood Debris","No Util Conflict Present","20/02/06"
"892","Tree Plant-Park Tree","Manhattan","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/13"
"893","Tree Plant-Street Tree","Brooklyn","Tree Planting","No Wood Debris","No Util Conflict Present","20/02/10"
"894","Block Pruning","Queens","Block Pruning","No Wood Debris","Electric Utility Open","20/02/28"
